0,1,2
"page_content='All was ready. The signal was given. A door beneath the royal party opened, and the lover of the princess walked into the arena. Tall, beautiful, fair, his appearance was greeted with a low hum of admiration and anxiety. Half the audience had not known so grand a youth had lived among them. No wonder the princess loved him! What a terrible thing for him to be there!'","page_content='the thing was done. When every member of his domestic and political systems moved smoothly in its appointed course, his nature was bland and genial; but, whenever there was a little hitch, and some of his orbs got out of their orbits, he was blander and more genial still, for nothing pleased him so much as to make the crooked straight and crush down uneven places.'","page_content='Then it was that his quick and anxious glance asked the question: ""Which?"" It was as plain to her as if he shouted it from where he stood. There was not an instant to be lost. The question was asked in a flash; it must be answered in another. For what might be the last time, the lady wondered in turmoil:\nWhat are the four questions I am wrestling with?'"
"page_content='Then it was that his quick and anxious glance asked the question: ""Which?"" It was as plain to her as if he shouted it from where he stood. There was not an instant to be lost. The question was asked in a flash; it must be answered in another. For what might be the last time, the lady wondered in turmoil:\nWhat are the four questions I am wrestling with?'","page_content='Would it not be better for him to die at once, and go to wait for her in the blessed regions of semi-barbaric futurity?\nAnd yet, that awful tiger, those shrieks, that blood!\nHer decision had been indicated in an instant, but it had been made after days and nights of anguished deliberation. She had known she would be asked, she had decided what she would answer, and, without the slightest hesitation, she had moved her hand to the right.'","page_content='When her lover turned and looked at her, and his eye met hers as she sat there, paler and whiter than anyone in the vast ocean of anxious faces about her, he saw, by that power of quick perception which is given to those whose souls are one, that she knew behind which door crouched the tiger, and behind which stood the lady. He had expected her to know it. He understood her nature, and his soul was assured that she would never rest until she had made plain to herself this thing, hidden to all'"
